"28cell1te" "28cell2te" "28cell3te" "blastula2te" "blastula3te" "dlarv1te" "dlarv2te" "dlarv3te" "gastrula1te" "gastrula2te" "gastrula3te" "morula1te" "morula2te" "ovo1te" "ovo2te" "spat1te" "spat2te" "spat3te" "troc1te" "troc2te"
"11221" 5 0 8 0 1 1 0 1 1 1 0 0 1 0 1 7 4 7 2 0
"11222" 12 13 6 26 22 35 40 15 28 35 25 42 30 19 5 18 7 11 65 46
"11223" 0 4 0 1 0 3 0 4 5 3 6 0 2 2 1 0 0 1 7 1
"11224" 1 0 0 3 1 3 1 0 0 0 2 0 2 2 0 2 1 1 0 5
"11230" 0 4 0 4 2 3 1 1 0 7 8 2 0 2 0 0 0 0 2 2
"11237" 1 13 2 5 1 4 1 1 2 1 1 1 1 0 0 0 0 0 3 1
"11240" 0 1 3 1 2 2 0 0 4 6 1 1 1 3 0 0 0 0 2 2
"11242" 2 3 1 6 2 4 3 5 2 3 3 2 3 5 0 0 0 0 9 3
"11243" 2 2 0 0 1 0 2 1 1 2 1 1 2 6 1 0 0 0 2 0
"11251" 0 0 0 0 0 4 2 1 1 1 0 3 0 0 0 0 0 2 8 2
"11258" 0 0 2 0 2 2 4 0 1 2 2 3 1 3 0 5 6 10 2 4
"11260" 0 1 0 1 0 4 0 1 1 0 2 1 1 0 0 3 1 1 9 0
"11262" 16 3 16 12 7 5 7 13 6 14 10 10 5 13 1 3 2 4 17 9
"11275" 0 2 0 3 2 5 5 6 3 2 3 4 4 10 3 1 0 1 10 4
"11293" 3 9 5 13 10 19 17 12 11 30 21 21 10 11 4 25 24 23 27 18
"11294" 5 4 0 1 5 2 3 1 2 5 3 5 4 7 2 0 6 2 2 3
"11295" 0 9 0 3 4 1 6 6 5 3 7 2 3 2 0 1 0 0 5 3
"11301" 0 11 0 8 6 19 19 18 16 26 13 23 10 14 2 36 32 23 41 14
"11302" 0 1 1 2 2 1 4 2 0 2 1 2 2 3 2 1 1 0 1 3
"11308" 20 14 22 12 3 13 16 11 9 16 10 18 15 4 9 36 19 79 24 21
"11310" 3 0 1 1 4 2 4 2 5 0 4 4 4 10 0 3 3 5 2 9
"11315" 0 0 1 0 1 0 0 1 1 3 1 1 0 10 1 2 1 1 0 0
"11321" 5 8 10 6 5 6 6 2 6 9 11 4 7 7 2 11 16 9 7 3
"11329" 0 1 1 5 2 3 2 2 2 11 8 3 1 3 0 1 0 0 10 3
"11330" 2 0 0 2 1 5 1 1 4 4 2 1 2 0 0 0 2 0 3 1
"11332" 18 4 11 2 4 11 9 6 6 7 13 6 1 7 1 5 9 13 12 4
"11352" 0 2 2 2 3 5 1 0 4 6 2 1 2 0 0 0 0 0 2 0
"11380" 7 0 3 2 0 0 0 0 0 0 0 1 2 3 1 0 1 1 1 0
"11393" 5 1 8 0 2 0 0 1 1 0 2 1 3 0 0 1 0 1 1 0
"11417" 3 3 2 5 2 5 11 5 4 9 9 3 7 6 0 2 3 3 12 12
"1145" 1 2 0 0 0 1 2 0 2 2 7 4 1 0 0 3 0 0 4 1
"11454" 1 1 2 4 0 4 1 3 2 2 2 6 2 0 0 0 1 1 8 4
"11466" 0 1 3 1 3 9 1 1 2 2 2 1 1 1 1 1 2 0 9 4
"11468" 2 2 6 1 0 0 2 0 2 1 2 0 1 1 2 4 3 3 4 2
"11470" 5 1 0 1 0 5 0 3 2 1 1 5 0 0 0 0 1 0 0 1
"11472" 2 5 4 6 3 5 3 3 7 5 7 7 2 2 0 1 0 0 12 8
"11473" 1 0 0 1 2 1 1 0 7 5 3 4 2 3 0 1 0 0 4 3
"11474" 1 7 3 2 5 13 6 1 7 18 5 14 7 1 0 3 1 2 25 4
"11487" 6 15 9 6 5 8 14 4 9 13 8 8 10 3 3 24 6 16 19 11
"11495" 3 0 3 2 0 3 0 4 1 2 0 1 0 2 0 0 0 0 4 4
"11497" 4 0 4 0 1 1 0 2 1 1 0 2 1 1 0 4 3 9 4 2
"1153" 3 1 1 1 2 0 0 0 4 4 1 7 1 4 2 4 3 4 5 4
"11530" 7 16 13 11 8 20 25 10 16 23 24 14 12 8 5 21 13 16 35 16
"11531" 3 2 1 1 0 4 0 2 0 0 0 4 5 2 1 2 0 1 9 3
"11534" 6 0 10 2 2 9 3 3 3 6 1 3 5 7 1 9 9 12 6 4
"11535" 2 2 3 1 2 5 3 3 3 7 3 6 4 2 0 1 0 2 7 2
"11560" 1 0 3 0 1 0 1 1 1 4 0 2 0 1 0 5 12 4 3 2
"11565" 2 0 0 0 0 4 1 2 5 1 0 4 0 1 0 3 0 2 8 1
"11575" 4 2 3 1 0 11 2 2 10 6 5 7 2 3 0 7 6 3 19 4
"11579" 4 0 17 1 2 1 0 1 2 4 3 0 0 2 0 1 2 4 2 0
"11598" 0 1 0 1 2 2 2 3 1 4 3 7 3 9 0 2 0 2 1 0
"116" 8 2 14 1 2 4 2 6 4 5 3 5 3 1 0 3 2 2 17 4
